koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_impact,koi_impact_err1,koi_duration,koi_depth,koi_depth_err1,koi_teq,koi_insol,koi_tce_plnt_num,koi_steff,ra,dec
0,0,0,9.48803557,0.146,0.318,2.9575,615.8,19.5,793.0,93.59,1.0,5455.0,291.93422999999996,48.141651
0,0,0,54.4183827,0.586,0.059,4.507,874.8,35.5,443.0,9.11,2.0,5455.0,291.93422999999996,48.141651
0,1,0,19.89913995,0.969,5.126,1.7822,10829.0,171.0,638.0,39.3,1.0,5853.0,297.00482,48.134128999999994
0,1,0,1.7369524530000002,1.276,0.115,2.4064099999999997,8079.2,12.8,1395.0,891.96,1.0,5805.0,285.53461,48.28521
0,0,0,2.525591777,0.701,0.235,1.6545,603.3,16.9,1406.0,926.16,1.0,6031.0,288.75487999999996,48.2262
0,0,0,11.09432054,0.538,0.03,4.5945,1517.5,24.2,835.0,114.81,1.0,6046.0,296.28612999999996,48.22467
0,0,0,4.13443512,0.762,0.139,3.1402,686.0,18.7,1160.0,427.65,2.0,6046.0,296.28612999999996,48.22467
0,0,0,2.56658897,0.755,0.212,2.429,226.5,16.8,1360.0,807.74,3.0,6046.0,296.28612999999996,48.22467
0,1,1,7.36178958,1.169,7.133,5.022,233.7,5.8,1342.0,767.22,1.0,6227.0,298.86435,42.151569
0,0,0,16.06864674,0.052,0.262,3.5347,4914.3,33.3,600.0,30.75,1.0,5031.0,286.99948,48.37579
0,0,0,2.470613377,0.818,0.001,1.7431900000000002,14231.0,4.2,1339.0,761.46,1.0,5820.0,286.80847,49.316399
0,1,0,2.2047354169999998,0.224,0.159,3.88864,6674.7,1.7,2048.0,4148.92,1.0,6440.0,292.24728,47.969521
0,0,0,3.5224984289999997,0.631,0.007,3.19843,9145.7,6.6,1521.0,1264.67,1.0,6225.0,281.28812,42.45108
0,0,0,3.709214104,0.051,0.395,2.6302,131.1,3.0,1206.0,500.46,2.0,5833.0,295.64871,48.49556
0,1,0,11.521446064000001,2.483,2.851,3.6399,17984.0,31.9,753.0,75.88,1.0,5795.0,297.07993,47.597401
0,1,0,19.40393776,0.804,0.007,12.2155,8918.7,53.3,523.0,17.69,1.0,5043.0,289.25821,47.635319
0,1,0,19.221388942,1.065,0.031,4.798430000000001,74284.0,21.9,698.0,55.97,1.0,6117.0,295.81453999999997,47.69035
0,1,0,16.46983774,0.292,0.118,9.4378,10479.0,39.9,595.0,29.61,1.0,5152.0,297.15442,47.668701
0,0,0,9.27358173,0.387,0.004,3.2875,1288.3,16.8,649.0,41.85,1.0,4856.0,288.13824,47.724449
0,0,0,6.02930329,0.258,0.196,1.5821,1912.7,34.4,678.0,50.04,1.0,4537.0,283.71088,47.86327
0,1,1,2.6963706519999997,0.044,0.36,3.6129,397.9,9.5,1066.0,305.34,1.0,4989.0,283.76547,47.804297999999996
0,0,0,5.349553819,0.092,0.369,3.0278,831.0,14.8,919.0,168.99,1.0,5185.0,292.37613,47.880989
0,0,0,3.94105221,0.226,0.243,2.5984,363.3,13.9,1018.0,253.15,2.0,5185.0,292.37613,47.880989
0,0,0,8.10904807,0.025,0.425,3.596,217.4,16.8,800.0,97.03,3.0,5185.0,292.37613,47.880989
0,1,0,386.6030528,0.9765,0.0497,6.8057,24927.0,45.8,297.0,1.84,1.0,5543.0,292.27374,37.671558000000005
0,0,0,21.67699193,0.896,0.01,3.4555,857.2,27.1,530.0,18.64,1.0,4954.0,290.46512,47.92918
0,0,0,4.99677968,0.71,0.006,2.1717,934.7,39.7,917.0,166.95,1.0,5339.0,297.80826,47.946671
0,0,0,4.280963604,0.424,0.112,2.875,750.8,14.1,1012.0,247.87,1.0,5644.0,294.26581,49.314091
0,0,1,1.50635409,0.86,0.042,1.5155,2211.7,18.3,1452.0,1054.12,1.0,5714.0,295.66522000000003,49.351009000000005
1,0,0,670.645531,0.701,0.004,53.412,18091.0,33.5,196.0,0.35,1.0,5520.0,296.69861000000003,49.316479
0,1,0,61.2563628,1.248,6.912,7.633,5123.3,70.6,505.0,15.43,1.0,6144.0,283.72592000000003,49.479519
0,0,0,38.3775486,0.468,0.461,5.588,724.2,23.4,529.0,18.53,1.0,5481.0,291.72202000000004,49.480869
0,0,0,41.19725502,0.045,0.337,4.6297,2213.9,45.5,439.0,8.76,2.0,5031.0,286.99948,48.37579
0,0,0,6.252962248999999,0.105,0.329,2.5819,1036.9,24.5,823.0,108.3,3.0,5031.0,286.99948,48.37579
0,0,0,16.01308419,0.799,0.097,3.2554,1121.9,39.4,593.0,29.31,1.0,5015.0,297.02563,48.478588
0,0,0,32.62876672,0.021,0.402,4.7971,1804.8,25.4,506.0,15.55,1.0,5586.0,285.71854,48.505859
0,0,0,91.7732862,0.606,0.335,6.473,652.0,36.2,359.0,3.92,2.0,5586.0,285.71854,48.505859
0,0,0,4.959319244,0.831,0.016,2.22739,9802.0,20.0,1103.0,349.4,1.0,5712.0,292.16705,48.727589
0,1,1,2.7012878010000003,1.016,3.967,3.3827,860.4,20.9,1222.0,527.81,1.0,5550.0,297.92365,48.777321
0,0,0,4.49876511,0.312,0.154,3.7362,460.0,17.5,1133.0,389.62,1.0,6075.0,298.45685,48.791592
0,1,0,19.651209505,0.723,0.01,5.2514,11766.0,27.7,730.0,67.03,1.0,6074.0,291.0939,48.933842
0,0,0,5.412203927,0.787,0.005,2.9472,601.6,4.0,1093.0,337.68,1.0,5779.0,287.88732999999996,46.276241
0,0,0,41.43958662,0.355,0.04,10.5989,2793.1,22.6,516.0,16.72,1.0,5468.0,295.55505,49.017342
0,0,0,8.35389523,0.023,0.423,2.2514,1041.6,28.2,790.0,91.9,1.0,5592.0,285.49924,49.277351
0,0,0,4.1255434719999995,0.597,0.235,3.1744,1487.3,13.3,1243.0,565.35,1.0,6174.0,291.93616000000003,49.253979
0,0,0,2.816504904,0.105,0.264,2.5058700000000003,16814.0,11.0,1219.0,521.13,1.0,5532.0,297.01547,49.225288
0,1,1,33.93373447,0.812,0.006,14.561,8503.7,44.3,430.0,8.11,1.0,5040.0,284.17233,49.360721999999996
0,0,0,3.6899200989999996,0.151,0.304,2.6557,426.7,13.8,1147.0,408.99,1.0,5880.0,291.62241,50.61824
0,0,0,4.431238488,0.405,0.041,3.15,1010.9,15.2,1104.0,351.23,1.0,5714.0,295.81616,51.121738
0,0,0,11.37936986,0.911,0.009,2.6255,1023.5,29.7,806.0,99.68,2.0,5714.0,295.81616,51.121738
0,0,0,26.39432897,0.602,0.25,3.573,1510.9,36.3,489.0,13.49,1.0,5129.0,289.39972,51.25032
0,0,0,13.57078281,0.866,0.015,3.3539,511.7,6.3,785.0,89.61,1.0,5854.0,300.86397999999997,44.337551
0,0,0,7.12594387,0.898,0.013,3.0014,192.4,4.4,997.0,233.31,2.0,5779.0,287.88732999999996,46.276241
0,1,0,7.442652004,0.137,0.346,2.3078,24446.0,37.8,967.0,206.78,1.0,6108.0,288.98682,49.733742
0,0,0,16.38489988,0.001,0.437,3.0249,1127.1,42.0,433.0,8.35,2.0,4126.0,286.73804,49.97575
0,0,0,7.8774163,0.041,0.409,2.0805,1306.1,37.7,553.0,22.18,1.0,4126.0,286.73804,49.97575
0,0,0,36.4454001,0.028,0.437,4.007,1122.3,53.4,332.0,2.88,3.0,4126.0,286.73804,49.97575
0,0,0,3.7287321469999997,0.558,0.13,2.683,5226.5,18.5,1023.0,258.34,1.0,5497.0,290.78574,50.054119
0,0,0,40.4195037,0.911,5.567,3.362,6256.0,230.0,467.0,11.29,1.0,5446.0,294.31686,50.080231
0,0,0,2.243380573,0.915,0.009,1.1196,821.7,25.6,822.0,107.6,1.0,4149.0,285.17621,50.149817999999996
0,1,0,10.405998015,0.324,0.061,6.5036,14489.0,22.4,833.0,113.94,1.0,5746.0,289.23553,50.241001000000004
0,0,0,2.337437946,0.28,0.189,1.9982,971.2,13.7,1070.0,311.16,1.0,5005.0,293.83331,50.23035
0,0,0,7.2406612,1.198,49.85,0.558,556.4,44.1,734.0,68.63,2.0,5005.0,293.83331,50.23035
0,0,0,3.43591631,0.624,0.037,3.133,23.2,3.4,1272.0,617.61,3.0,5779.0,287.88732999999996,46.276241
0,0,0,11.59822233,0.679,0.187,2.5237,2804.5,46.3,396.0,5.82,1.0,3688.0,296.22195,50.28722
0,0,0,6.575315881,0.39,0.065,4.3084,2793.3,14.9,1015.0,251.38,1.0,5992.0,290.09805,50.321609
0,0,0,7.275040843999999,0.547,0.052,7.5377,3001.0,11.5,833.0,113.64,1.0,5485.0,295.45529,50.49456
0,0,0,19.27153892,0.031,0.36,2.7594,1219.8,35.3,393.0,5.66,1.0,4077.0,293.97336,50.531909999999996
0,0,0,10.06524317,0.628,0.003,1.369,1053.3,39.2,488.0,13.43,2.0,4077.0,293.97336,50.531909999999996
0,0,0,12.3935651,0.883,0.033,3.8896,916.6,29.1,677.0,49.68,1.0,5557.0,296.02133,50.56778
0,0,0,43.84439721,0.852,0.039,6.802,615.2,7.7,531.0,18.77,2.0,5854.0,300.86397999999997,44.337551
0,1,1,3.341913228,1.213,11.28,3.813,725.3,21.3,1032.0,268.67,1.0,5295.0,292.31595,38.27029
0,0,0,1.626630225,1.26,4.827,2.1145,1620.6,19.0,1547.0,1355.88,1.0,5735.0,294.36818999999997,38.31028
0,0,0,2.711504086,0.023,0.405,3.0099,837.5,14.5,1420.0,960.79,1.0,6214.0,291.65353,38.494659000000006
0,0,0,7.21203748,0.012,0.394,4.0491,950.4,19.5,1025.0,260.58,2.0,6214.0,291.65353,38.494659000000006
0,0,0,8.47237911,0.022,0.378,2.7245,1123.5,26.7,751.0,75.44,1.0,5354.0,296.36652000000004,51.319519
0,0,0,60.4189369,0.094,0.359,5.039,931.3,49.6,390.0,5.49,2.0,5354.0,296.36652000000004,51.319519
0,0,0,12.611904345,0.55,0.065,5.1497,6105.6,27.6,753.0,76.15,1.0,5795.0,289.11221,51.737381
0,1,0,1.433769925,1.268,5.652,1.8868,1976.3,20.4,1920.0,3209.29,1.0,6017.0,290.84369,37.728828
0,1,1,10.31872301,1.215,59.52,3.836,871.7,26.4,876.0,139.26,1.0,5927.0,291.84891,37.713501
0,0,0,2.5391831469999997,0.238,0.198,2.4282,382.1,11.4,1332.0,743.09,1.0,5519.0,291.43997,37.905659
0,0,0,6.770300385,0.838,0.083,2.0844,1304.0,29.7,812.0,102.87,1.0,5653.0,290.87051,38.273628
0,1,1,0.44429196600000004,1.258,0.334,2.0792,10967.0,45.9,1836.0,2706.26,1.0,5255.0,290.99689,38.28492
0,0,0,10.181584004,0.92,0.007,3.5089,5741.1,53.2,812.0,102.91,1.0,5988.0,291.28195,38.241669
0,0,0,20.06036336,0.556,0.323,3.3203,1494.7,45.1,361.0,4.0,2.0,3950.0,286.07912999999996,39.27832
0,0,0,46.1842039,0.013,0.415,4.758,1394.7,56.4,273.0,1.32,3.0,3950.0,286.07912999999996,39.27832
0,0,0,23.9800854,0.95,0.004,5.351,104.0,6.5,649.0,41.94,4.0,5854.0,300.86397999999997,44.337551
0,0,0,7.82502168,0.708,0.234,2.186,520.8,36.4,494.0,14.05,4.0,3950.0,286.07912999999996,39.27832
0,0,0,3.895936525,0.524,0.069,2.3111,8544.8,29.5,1005.0,241.62,1.0,5557.0,294.65524,39.308361
0,0,0,22.36646466,0.4,0.066,5.228,986.8,35.1,536.0,19.45,1.0,5395.0,294.71063,39.52174
0,0,0,1.625522174,0.076,0.022,2.38963,7969.0,11.8,1579.0,1467.41,1.0,5539.0,293.87192000000005,38.422939
0,0,0,19.620346923,0.458,0.08,2.0038,21725.0,85.0,643.0,40.39,1.0,5710.0,293.81619,38.563568
1,0,1,7.544039,1.175,33.63,6.222,322.6,28.2,838.0,116.46,2.0,5657.0,293.94116,38.601101
0,0,0,9.02930689,0.024,0.401,3.1449,1019.8,21.9,757.0,77.75,1.0,5349.0,290.33362,38.728229999999996
